Challenge	Proposal ID	Short Title
Catalyst Onboarding	350672	Inner View with KEWW Video Series
Catalyst Onboarding	350675	Catalyst Site Education resources
Catalyst Onboarding	350686	Catalyst Site Improve proposal data
Catalyst Onboarding	350704	Catalyst Catapult
Catalyst Onboarding	350706	WITHDRAWN
Catalyst Onboarding	350749	Q A site cardano stackexchange com
Catalyst Onboarding	350835	Charles Hoskinson in Russian
Catalyst Onboarding	350869	Incentivizing Interaction Phase 2
Catalyst Onboarding	350982	Online cardano store for SPO s
Catalyst Onboarding	351093	Sponsorship for Brazilian youtuber
Catalyst Onboarding	351363	Team For Me – People Before Ideas
Catalyst Onboarding	351438	withdrawn
Catalyst Onboarding	352422	ALDEA Catalyst Spanish Support Site
Catalyst Onboarding	352583	Cardano Catalyst Jobs Services
Catalyst Onboarding	352586	Crypto Targeted Promotion Campaign
Catalyst Onboarding	352611	WADA Uni Students Catalyst Registry
Catalyst Onboarding	352612	Quantum Collective Community Hub
Catalyst Onboarding	352744	Barriers to Entry = Proposals
Catalyst Onboarding	352777	Incentivized Participation
Catalyst Onboarding	352778	WITHDRAW Bot to pin messages
Catalyst Onboarding	352779	PCDiscord Bot to Assign Roles
Catalyst Onboarding	352780	PCDiscord Bot to create channels
Catalyst Onboarding	352786	WITHDRAW Bot to answer questions
Catalyst Onboarding	352790	WITHDRAW Telegram to Discord
Catalyst Onboarding	352796	WITHDRAW Bot to help govern
Catalyst Onboarding	352801	PCDiscord Miro board for Onboarding
Catalyst Onboarding	352804	PCDiscord Discord Partnership
Catalyst Onboarding	352816	WITHDRAW Bot for guidance
Catalyst Onboarding	352820	WITHDRAW Bot for meetup announces
DApps Integrations	350601	PlayerMint P2 MetaVerse Toolkit
DApps Integrations	350608	Valorem Thriving local economy
DApps Integrations	350610	Prepaid Debit Card
DApps Integrations	350612	Decentralized Content Platform
DApps Integrations	350616	Cardano Support for Point of Sale
DApps Integrations	350627	Responsible Investing Dapp
DApps Integrations	350629	Back to Basis - Tax compliance tool
DApps Integrations	350634	Integrate SoMee social onto Cardano
DApps Integrations	350661	ChainEscrow On chain escrow dApp
DApps Integrations	350667	Dapp to control monetize your data
DApps Integrations	350674	Animal Conservation NFT Rewards
DApps Integrations	350676	Decentralized exchange on Cardano
DApps Integrations	350701	Music Industry Money Made Fair
DApps Integrations	350723	NFT for each CARDANO Smart Contract
DApps Integrations	350727	P2P NFT lending borrowing
DApps Integrations	350736	RAY Wallet
DApps Integrations	350744	cardano stackexchange com
DApps Integrations	350758	DEED IT FORWARD
DApps Integrations	350773	DaPassword a password manager
DApps Integrations	350808	Community Launchpad DEX
DApps Integrations	350809	Food Delivery App + Low Commissions
DApps Integrations	350830	Provable agricultural provenance
DApps Integrations	350886	On Chain Trust
DApps Integrations	350931	WrapAssets io
DApps Integrations	350998	Insurance Claims Processing
DApps Integrations	351002	Decentralised maps and nfts
DApps Integrations	351004	Youbiquitor Dapp for gig workers
DApps Integrations	351088	Kingdom Builder
DApps Integrations	351096	WITHDRAWN
DApps Integrations	351102	Magento 2 ada payments plugin
DApps Integrations	351108	A DEX aggregator built on Cardano
DApps Integrations	351116	Euclid Net Cardano Data Analytics
DApps Integrations	351119	graffiti NFT marketplace
DApps Integrations	351135	Native tokens for physical assets
DApps Integrations	351183	Crowdano Crowdfunding Platform
DApps Integrations	351200	ADALancer
DApps Integrations	351225	Decentralized real estate
DApps Integrations	351232	Bakground
DApps Integrations	351233	NFTs That Mimic Biological Systems
DApps Integrations	351262	Prsona Dapp for political personas
DApps Integrations	351295	Decentralized version of ebay
DApps Integrations	351318	Micro Governance w NFT 🏡
DApps Integrations	351321	Wrong Section Withdrawn
DApps Integrations	351337	WITHDRAWN REVISITING THE IDEA
DApps Integrations	351359	Smart Contract Based Paper Wallets
DApps Integrations	351472	DEFI Billing WITHDRAW from category
DApps Integrations	351487	WooCommerce Payments Plugin
DApps Integrations	351579	Trusted time tracking and billing
DApps Integrations	351653	nft maker io Full NFT platform
DApps Integrations	351663	The Quest for ADA
DApps Integrations	351682	Artano The NFT Art Marketplace
DApps Integrations	351697	Farm to Fork Supply Chain Insects
DApps Integrations	351711	iGIVit The Future of Giving
DApps Integrations	351716	Gero Wallet Cardano s MetaMask
DApps Integrations	351778	Treda A transactional carbon tax
DApps Integrations	351877	T0 Intraday Liquidity Management
DApps Integrations	351980	Data driven Cardano services
DApps Integrations	352004	SPRD Advanced delegation system
DApps Integrations	352031	Insurance Claims Processing
DApps Integrations	352152	NFT DAO EZ Ticket dispenser
DApps Integrations	352166	Crafting game with MANY tokens
DApps Integrations	352180	Raffly io the simple way to raffle
DApps Integrations	352209	ETF Cardano Token
DApps Integrations	352255	Genome App Monetise your Genome
DApps Integrations	352259	Font Management App
DApps Integrations	352276	Mosaic fNFT Native Token Mint
DApps Integrations	352281	MUSIC STARTUPS
DApps Integrations	352284	dApps for Designers and Creatives
DApps Integrations	352327	RedToken Blood Donation Dapp
DApps Integrations	352330	DubT contract driven livestream NFT
DApps Integrations	352382	WITHDRAW
DApps Integrations	352393	REDRAWN Crowdfunding VAS
DApps Integrations	352435	Burblr let s make books fun
DApps Integrations	352469	Plant Me
DApps Integrations	352482	Cardano Connector (Metamask-like)
DApps Integrations	352518	ALLIN Social Betting Platform
DApps Integrations	352537	Book Tokenization Through Cardano
DApps Integrations	352553	Sport ADA Intro adoption
DApps Integrations	352554	Cardmintano - Native Token Minter
DApps Integrations	352577	NFTDOT IO enable adoption of NFT FT
DApps Integrations	352596	Ensuro A Decentralized Insurance
DApps Integrations	352614	Fanance Celebrity Trading Platform
DApps Integrations	352643	CardanoTales CNFTs based RPG game
DApps Integrations	352678	UnicornHire Recruitment Platform
DApps Integrations	352685	NFT platform for art organizations
DApps Integrations	352687	DApp to manage certifications
DApps Integrations	352696	Banking The Unbanked
DApps Integrations	352701	Cardacity a trading card game
DApps Integrations	352702	Promptous Dental Benefits DApp
DApps Integrations	352723	Wrap NTFs
DApps Integrations	352725	BitBunny io Adopt animals w NFT
DApps Integrations	352746	Low price place
DApps Integrations	352752	Viff.Club: Slimey Emotional NFTs
DApps Integrations	352770	Withdrawn Future Funding Remit DApp
DApps Integrations	352771	An authentic review ecosystem
DApps Integrations	352806	Retracted
DApps Integrations	352808	smartstakepool io
DApps Integrations	352812	CryptoLot to Good Cause Lottery
DApps Integrations	352819	DEX Cardano Decentralized Exchange
DApps Integrations	352824	CARDAGO CROWDFUNDING PLATFORM
DApps Integrations	352829	Sofiα
DApps Integrations	352830	Democratised AlgoTrading on Cardano
Defi Ecosystem	350654	AMM for Continuous Financing
Defi Ecosystem	350964	RAY Swap
Defi Ecosystem	351112	A DEX aggregator on Cardano
Defi Ecosystem	351387	Smart Contract Audit Token SCAT DAO
Defi Ecosystem	351471	DEFI billing an untapped market
Defi Ecosystem	351485	P2P Lending
Defi Ecosystem	351513	WITHDRAW
Defi Ecosystem	351607	Cannabis tokens
Defi Ecosystem	352002	AVOUM Account View on UTXO Model
Defi Ecosystem	352014	Daedalus Wallet Node SBC Devices
Defi Ecosystem	352039	Liqwid Protocol Security Audit
Defi Ecosystem	352081	Liqwid x Credmark R D on Loan Risks
Defi Ecosystem	352230	From iCO to Defi Walkthrough Plat
Defi Ecosystem	352410	ErgoDex Plutus Port
Defi Ecosystem	352461	Small business expansion funding
Defi Ecosystem	352462	Stiff Money Crowdlending PaaS
Defi Ecosystem	352466	Carbonland Trust Carbon Credits DEX
Defi Ecosystem	352562	Dandelion Cardano API market
Defi Ecosystem	352640	Grow Our Own Teams
Defi Ecosystem	352679	MinSwap Multi pool DEX
Defi Ecosystem	352689	Credentialing Liquidity Dex
Defi Ecosystem	352717	Kitty Party 😺 DeFi Lending Circle
Defi Ecosystem	352722	Promptous Trust + Loyalty Program
Defi Ecosystem	352791	Fund the masses
Defi Ecosystem	352811	Pharo ACM
Developer Ecosystem	350599	Step by Step Guide Off Chain Code
Developer Ecosystem	350625	Arnot iOS SDK
Developer Ecosystem	350635	Elixir SDK
Developer Ecosystem	350652	Devs for Awarenes Event West Africa
Developer Ecosystem	350707	Cardano JS API
Developer Ecosystem	350731	NFT Guaranteed Storage
Developer Ecosystem	350741	NFT re minting service
Developer Ecosystem	350761	Wallet Name System WNS
Developer Ecosystem	350766	Free Commerce payment gateway
Developer Ecosystem	350780	Tokenizing GitHub Pull request
Developer Ecosystem	350911	Catalyst Common Idea Funnel
Developer Ecosystem	351198	Workspace for JavaScript Developers
Developer Ecosystem	351203	Cardano Marketplace
Developer Ecosystem	351284	Bind to other Prog Languages
Developer Ecosystem	351323	withdrawn
Developer Ecosystem	351501	Artificial Intelligence ML API
Developer Ecosystem	351627	SKOOWLS 24 7 education platform
Developer Ecosystem	351678	Quality Assurance DAO
Developer Ecosystem	351739	Make your Dapp visible
Developer Ecosystem	352020	NFT Key
Developer Ecosystem	352064	Mobile Plutus and Marlowe Dev Tools
Developer Ecosystem	352108	Native Token API for Game Devs
Developer Ecosystem	352126	NFT DAO EZ Pay API wallet connector
Developer Ecosystem	352132	NFT DAO EZ On Interop NFTs
Developer Ecosystem	352159	NFT DAO EZ Name
Developer Ecosystem	352181	Incentive system for documentation
Developer Ecosystem	352229	Metadata oracle endpoint in Yoroi
Developer Ecosystem	352233	Implement CIP12 to Yoroi backends
Developer Ecosystem	352235	Localize Yoroi for Slovak market
Developer Ecosystem	352236	Localize Yoroi for Czech market
Developer Ecosystem	352260	Crowdfunding Website for Proposals
Developer Ecosystem	352275	REDRAWN Incubator program
Developer Ecosystem	352326	ADA MakerSpace Accelerator
Developer Ecosystem	352468	Learn and Earn Developer Training
Developer Ecosystem	352480	Cardano Rust SDK update for Alonzo
Developer Ecosystem	352513	Educational materials about Cardano
Developer Ecosystem	352528	Neona 1on1 Lunar Cycle Mentorship
Developer Ecosystem	352568	Aregato ADA ebook marketplace
Developer Ecosystem	352579	Turning Devs into Blockchain Devs
Developer Ecosystem	352606	Testnet Cardanoscan Explorer
Developer Ecosystem	352623	Cardano Wallet Flutter SDK
Developer Ecosystem	352730	The Game of Life
Developer Ecosystem	352747	Indigenous Source Dev Tools +Events
Developer Ecosystem	352756	End to End No code Cardano Apps
Developer Ecosystem	352757	Websocket link for Blockfrost API
Developer Ecosystem	352760	Glow Formal verification
Developer Ecosystem	352764	C SDK for Blockfrost API
Developer Ecosystem	352787	Cardano IPFS chronicles
Developer Ecosystem	352818	MicroTask Development Challenge
Developer Ecosystem	355448	Test proposal
Distributed Decisions	350662	Co participation fund adafund io
Distributed Decisions	350699	Catalyst Site Project tracking
Distributed Decisions	350720	Governance Co Laboratory
Distributed Decisions	350824	cardanocataly st Community Page
Distributed Decisions	350904	Tutorial for Community Advisors
Distributed Decisions	350981	Catalyst Community Tools
Distributed Decisions	351735	Visual communication for community
Distributed Decisions	351825	Open Ideas and Data For Cooperation
Distributed Decisions	352206	A Council of Catalyst DAOs
Distributed Decisions	352251	REDRAWN Catalogue proposals
Distributed Decisions	352495	Social Spider Web of Decision
Distributed Decisions	352497	+WADA Capacity=Smart Catalyst Users
Distributed Decisions	352718	F5 REFRESH decentralise Catalyst
Distributed Decisions	352773	NFT DAO EZ Honor contribution token
Distributed Decisions	352809	IdeaScale Improvements
Fund 7 Challenge	350604	DeFi CeFi Cardano TBC in Fund 7
Fund 7 Challenge	350613	Atala PRISM DID Mass Scale Adoption
Fund 7 Challenge	350688	Decentralised Research Fund
Fund 7 Challenge	350691	NFTs
Fund 7 Challenge	350694	Stake Pools in 100 Countries
Fund 7 Challenge	350697	A I SingularityNet
Fund 7 Challenge	350751	Explore model ADA monetary policy
Fund 7 Challenge	350798	PROJECT CATALYST S FIRST NFT ART 🌅
Fund 7 Challenge	350877	Ouroboros Endless self disruption
Fund 7 Challenge	351012	Disaster When all is at stake
Fund 7 Challenge	351148	GRL PWR Women Welcome!
Fund 7 Challenge	351175	Push from 500 to 1000 !
Fund 7 Challenge	351294	Social project for digital inclusio
Fund 7 Challenge	351307	Decentralized Data Publishing
Fund 7 Challenge	351795	Sustainable Development Goals 2030
Fund 7 Challenge	351806	Support Ongoing Small Projects
Fund 7 Challenge	351976	Educate Cardano s future workforce
Fund 7 Challenge	352036	Science Coins Bridging differences
Fund 7 Challenge	352101	Improve and Grow Auditability
Fund 7 Challenge	352148	WITHDRAWN
Fund 7 Challenge	352534	Scale UP Cardano s Community Hubs
Fund 7 Challenge	352658	Decentralise Catalyst
Fund 7 Challenge	352667	ColabHackathon first timers welcome
Fund 7 Challenge	352807	Decentralised Storage Solutions
Fund 7 Challenge	352815	NFT Business models
Grow Africa	350670	First Ethiopian Stake Pool
Grow Africa	350738	ADA Microfinance platform
Grow Africa	350742	Free WIFI For Minibus Taxis
Grow Africa	350764	Planting Roots In Africa
Grow Africa	350781	Sanitation Microfarming tm PBC
Grow Africa	350836	Paper wallet terminal for in a shop
Grow Africa	350849	Decentralised power grid
Grow Africa	350968	Trust Graphic Novel Motion Comic
Grow Africa	351008	Make DApp for Worldwide Gardening!
Grow Africa	351134	Teens Blockchain Summer Bootcamp
Grow Africa	351158	Withdrawn Go Africa!
Grow Africa	351263	ADA Liquidity for Ethiopia
Grow Africa	351380	Cashout and Buy ADA in Ethiopia
Grow Africa	351403	E ROW waterways transportation
Grow Africa	351489	Hyper Localizable Wallet for Africa
Grow Africa	351502	No Code For Creative Africa
Grow Africa	351624	Decentralization at Societal Level
Grow Africa	351698	ADD xyz s DeFi Mobile Money Bridge
Grow Africa	351822	Cardano Student Clubs in Ethiopia
Grow Africa	351854	Networking events
Grow Africa	352109	Rewarding Payroll Solutions Resume
Grow Africa	352127	Africa s Cardano Resource
Grow Africa	352262	African launchpad
Grow Africa	352267	ADA news in African languages
Grow Africa	352364	Crowdsourced map imagery w paypixl
Grow Africa	352412	ADA Microbank for Ethiopian Farmers
Grow Africa	352527	From Plastic Waste 2 Social Housing
Grow Africa	352666	Introducing Empowa
Grow Africa	352676	COINLAND
Grow Africa	352688	ESUSU MicroInsurance Nigeria
Grow Africa	352738	Africa Opensource Pharma Medicine
Grow Africa	352743	Communication is always Key
Metadata Challenge	350609	UniCloak
Metadata Challenge	350680	Control your data – privacy ledger
Metadata Challenge	350883	Deqree Certificate Validation 🎓
Metadata Challenge	350923	CardanoWall new levels of PoE
Metadata Challenge	351202	Corona Immunity Passport
Metadata Challenge	351236	iNVENT
Metadata Challenge	352005	Blockchain Authentication Mechanism
Metadata Challenge	352231	Oracle Performance Metrics
Metadata Challenge	352270	paypixl Validating Drone Metadata
Metadata Challenge	352362	NFTDAO Industry Standards 1 dues
Metadata Challenge	352411	Jenner Patient Reported Outcomes
Metadata Challenge	352423	WADA +GL +Metadata = Donor Rewards+
Metadata Challenge	352531	Graph DB Sidechain with Fluree
Metadata Challenge	352549	ADAvoice Decentralized E invoicing
Metadata Challenge	352551	Storage of medical metadata
Metadata Challenge	352572	Business Email Compromise solution
Metadata Challenge	352588	C64 NFTs Minter on chain+identity
Metadata Challenge	352707	YOGA+ on PRISM
Metadata Challenge	352712	Promptous Dental MetaData
Metadata Challenge	352759	Protocol for Social Media Storage
Proposer Outreach	350653	Catalyst Site Collaborators list
Proposer Outreach	350844	60 Day Online Marketing Campaign
Proposer Outreach	350878	University College Outreach
Proposer Outreach	350984	Small SPO awareness
Proposer Outreach	351137	Educational videos adatruth
Proposer Outreach	351435	Video guides
Proposer Outreach	351530	Target SME associations
Proposer Outreach	351575	Unbreakable trust
Proposer Outreach	351705	Collab Directory and Events
Proposer Outreach	351769	Cardano Catalyst Newsletter
Proposer Outreach	351941	Hands On Marketing in Addis Ababa
Proposer Outreach	352012	The Million ADA Homepage
Proposer Outreach	352114	FREE MONEY Direct Marketing
Proposer Outreach	352183	Slush Collaboration
Proposer Outreach	352292	Sustainable ADA
Proposer Outreach	352397	REDRAWN Cryptobassadors
Proposer Outreach	352436	ALDEA Wiki Cardano Encyclopedia
Proposer Outreach	352484	Developer Evangelist Japan
Proposer Outreach	352499	WADA Media Funnel for Proposers
Proposer Outreach	352710	Catalyst Incubation Centers
Proposer Outreach	352755	Establish Local Cardano Community
Proposer Outreach	352802	Why Should I Choose Cardano
Proposer Outreach	352828	Chilean Leprechaun Video Campaign
